2f8000 9483
2f8002 5aa9
0786de 23ef
0781cc e3ee
0781e8 dbee
0781ee 87ef
0781f4 d7ee
078248 dfee
078264 17ef
0783ee dbee
078404 73ef
078432 dbee
078464 dbee
07846a dfee
078478 e3ee
078486 13ef
0784ac 33ef
0784e4 47ef
078518 dfee
07851e dbee
07852c 53ef
078532 83ef
078538 dfee
078608 e3ee
07860e dfee
078614 33ef
07865c dbee
078676 dbee
07874c dfee
078798 e3ee
07879e 7fef
0787c2 dbee
0787d0 dfee
0787fa dfee
078802 37ef
078824 dfee
078836 dbee
07883c 83ef
078876 3bef
0788ca dbee
07890e 5fef
078914 dfee
07896e 3fef
07899c 83ef
0789ec 87ef
078aca 43ef
078ae4 83ef
078b24 7bef
078b46 83ef
078ba4 dfee
078bac 2bef
078bc0 d7ee
078be6 dbee
078bec dfee
078c04 d7ee
078c14 d7ee
078c2a dfee
078c36 4fef
078c3e 33ef
078c44 8bef
078c52 d7ee
078c66 dbee
078c74 83ef
078c82 2bef
078cbc dbee
078cca 57ef
078e6e d7ee
078e74 87ef
078f30 dbee
078fca d7ee
078fd2 dbee
0790c0 dfee
079100 e3ee
079108 9fef
079110 6fef
079184 dbee
07c265 dbee
07c2e9 2fef
07c2ef dbee
07c319 dbee
07c337 dfee
07c357 dfee
07c365 dbee
07c36d 37ef
07c437 d7ee
07c43d dfee
07c47d d7ee
07c483 cfef
07c4af dbee
07c4b5 dbee
07c533 d7ee
07c559 63ef
07c5dd dfee
07c5e3 2fef
07c5eb dbee
07c5f1 e3ee
07c603 dbee
07c609 dfee
07c6e5 5bef
07c74d 8bef
07c755 dbee
07c7a7 2bef
2f8039 0501
2f803b 0300
2f803d 0104
2f803f 0301
2f8041 0201
2f8049 0300
2f804b 0100
2f804d 0003
2f804f 0202
2f8051 0102
2f8023 0600
2f801d 0800
2f8011 0d00
2f8017 0f00
2f800f 1200
2f8007 1a00
2f8009 2500
2f8015 2700
2f802b 2900
2f800b 2c00
2f800d 3800
2f801f 4000
2f801b 4800
2f8019 4900
2f8021 5a00
2f8013 6100
2f8005 1d
2f8004 00
2f8b10 0040
079425 ca89
0794b7 428a
0795a6 ae8a
0795cf a28a
079628 ea8a
079651 f68a
07995f fe8b
079992 228c
0799e8 528c
079e7b 868e
079ee5 9e8e
079fe3 0a8f
07a27c 2a90
07a351 c690
07a498 3e91
07a594 40a8
07a5e5 be98
07a614 e691
07a6c8 2e92
07a6ca 3a92
07a952 d293
07a9d5 ea93
07ad8d fa95
07ae9f 7e96
07af3b d296
07b376 c4a2
07b3a1 b691
07b67d 4a9a
07ccb9 ca98
07cd59 6ca9
07cf41 30a3
07cfa9 84a3
07cfab 90a3
07cff0 9ca3
07d12d 80a4
07d1ce c8a4
07d247 10a5
07d5ce 08a7
07d7d7 aca2
07daa6 ce91
2f8b0c 0000
2f8b00 cdab000c01a000eeeeeeeeee
