2f8000 ce94
2f8002 4725
0786de 23ef
0781cc dbee
0781e8 dfee
0781ee 8bef
0781f4 d7ee
078248 dfee
078264 17ef
0783ee dbee
078404 37ef
078432 dbee
078464 dbee
07846a e3ee
078478 dfee
078486 ffee
0784ac 2fef
0784e4 33ef
078518 dbee
07851e dbee
07852c 2bef
078532 83ef
078538 dfee
078608 e3ee
07860e dfee
078614 4bef
07865c d7ee
078676 e3ee
07874c dbee
078798 dbee
07879e 8bef
0787c2 dfee
0787d0 dfee
0787fa dbee
078802 2fef
078824 dbee
078836 dfee
07883c 83ef
078876 3bef
0788ca dfee
07890e 7bef
078914 d7ee
07896e 5bef
07899c 8bef
0789ec 83ef
078aca 63ef
078ae4 83ef
078b24 2fef
078b46 83ef
078ba4 dbee
078bac 3fef
078bc0 dbee
078be6 d7ee
078bec dbee
078c04 d7ee
078c14 dfee
078c2a dfee
078c36 4fef
078c3e 2fef
078c44 7fef
078c52 27ef
078c66 dbee
078c74 83ef
078c82 6fef
078cbc dfee
078cca 2bef
078e6e dbee
078e74 83ef
078f30 dbee
078fca d7ee
078fd2 dbee
0790c0 dbee
079100 e3ee
079108 9bef
079110 67ef
079184 dbee
07c265 dbee
07c2e9 2bef
07c2ef 1fef
07c319 d7ee
07c337 03ef
07c357 dbee
07c365 0bef
07c36d 2fef
07c437 dfee
07c43d e3ee
07c47d d7ee
07c483 8bef
07c4af e3ee
07c4b5 dfee
07c533 e3ee
07c559 33ef
07c5dd e3ee
07c5e3 2fef
07c5eb e3ee
07c5f1 dbee
07c603 dbee
07c609 dfee
07c6e5 2bef
07c74d 7fef
07c755 dbee
07c7a7 43ef
2f8039 0500
2f803b 0202
2f803d 0303
2f803f 0303
2f8041 0202
2f8049 0201
2f804b 0100
2f804d 0001
2f804f 0201
2f8051 0101
2f8023 0600
2f800f 0d00
2f801b 1700
2f8007 1a00
2f8009 2500
2f8013 2900
2f8021 2c00
2f802b 3100
2f800d 3800
2f8019 3e00
2f8017 4800
2f8011 4900
2f801d 4d00
2f801f 4f00
2f8015 5100
2f800b 6400
2f8005 1d
2f8004 00
2f8b10 0040
079425 ca89
0794b7 428a
0795a6 ae8a
0795cf a28a
079628 ea8a
079651 f68a
07995f fe8b
079992 228c
0799e8 528c
079e7b 868e
079ee5 9e8e
079fe3 0a8f
07a27c 2a90
07a351 c690
07a498 3e91
07a594 40a8
07a5e5 6ca9
07a614 e691
07a6c8 2e92
07a6ca 3a92
07a952 d293
07a9d5 ea93
07ad8d fa95
07ae9f 7e96
07af3b d296
07b376 be98
07b3a1 ca98
07b67d 4a9a
07ccb9 aca2
07cd59 c4a2
07cf41 30a3
07cfa9 84a3
07cfab 90a3
07cff0 9ca3
07d12d 80a4
07d1ce c8a4
07d247 10a5
07d5ce 08a7
07d7d7 b691
07daa6 ce91
2f8b0c 0000
2f8b00 adde000c01a000eeeeeeeeee
