2f8000 9483
2f8002 5aa9
2f8c9c f5b3
2f8e64 38b5
2f8f54 b7b4
0786de 23ef
0781cc dbee
0781e8 dbee
0781ee 87ef
0781f4 dfee
078248 dbee
078264 1bef
0783ee dbee
078404 3bef
078432 f7ee
078464 dbee
07846a dfee
078478 dfee
078486 dbee
0784ac 37ef
0784e4 2fef
078518 dfee
07851e dbee
07852c 2bef
078532 83ef
078538 dbee
078608 e3ee
07860e dfee
078614 43ef
07865c dfee
078676 dbee
07874c dbee
078798 e3ee
07879e 7fef
0787c2 ecef
0787d0 dbee
0787fa d7ee
078802 2fef
078824 03ef
078836 dbee
07883c 8bef
078876 7bef
0788ca dfee
07890e 2fef
078914 dbee
07896e 2bef
07899c 7fef
0789ec 83ef
078aca 2bef
078ae4 8bef
078b24 2bef
078b46 87ef
078ba4 d7ee
078bac 7bef
078bc0 dbee
078be6 dfee
078bec e3ee
078c04 e3ee
078c14 dbee
078c2a dfee
078c36 2bef
078c3e 47ef
078c44 83ef
078c52 dbee
078c66 dfee
078c74 83ef
078c82 5bef
078cbc dbee
078cca 2bef
078e6e dbee
078e74 83ef
078f30 dbee
078fca dbee
078fd2 e3ee
0790c0 dbee
079100 dfee
079108 b7ef
079110 7bef
079184 0bef
07c265 dbee
07c2e9 4fef
07c2ef dfee
07c319 dfee
07c337 d7ee
07c357 dfee
07c365 13ef
07c36d 73ef
07c437 e3ee
07c43d dfee
07c47d d7ee
07c483 87ef
07c4af dbee
07c4b5 e3ee
07c533 dbee
07c559 2bef
07c5dd dbee
07c5e3 6bef
07c5eb e3ee
07c5f1 dfee
07c603 dfee
07c609 dbee
07c6e5 7bef
07c74d 8bef
07c755 d7ee
07c7a7 53ef
2f8039 0401
2f803b 0302
2f803d 0202
2f803f 0301
2f8041 0202
2f8049 0001
2f804b 0002
2f804d 0001
2f804f 0200
2f8051 0002
2f8019 0600
2f8009 0800
2f801b 0900
2f800b 1700
2f8007 1a00
2f802d 1e00
2f801f 2200
2f8017 3900
2f8013 3e00
2f8021 4800
2f8015 4a00
2f800d 4c00
2f8011 5100
2f801d 5200
2f8023 5c00
2f800f 6400
2f8005 0d
2f8004 01
2f8b10 0030
079ee5 9e8e
079628 ea8a
0799e8 528c
079992 228c
0794b7 428a
0795a6 ae8a
079fe3 0a8f
07a351 c690
07cf41 30a3
07cfa9 84a3
07cfab 90a3
07a6ca 3a92
07a952 d293
07ad8d fa95
07ae9f 7e96
07d1ce c8a4
07a594 b691
07ccb9 aca2
07d7d7 40a8
07b3a1 ca98
079e7b 868e
079425 ca89
07a614 e691
07995f fe8b
079651 f68a
0795cf a28a
07a27c 2a90
07d12d 80a4
07cff0 9ca3
07a6c8 2e92
07d247 10a5
07a498 3e91
07a9d5 ea93
07b67d 4a9a
07af3b d296
07d5ce 08a7
07a5e5 ce91
07cd59 c4a2
07daa6 6ca9
07b376 be98
2f8b0c 0000
2f8b00 cdab001000e600eeeeeeeeee
