2f8000 9483
2f8002 5aa9
0786de 23ef
0781cc dfee
0781e8 dbee
0781ee 9bef
0781f4 dfee
078248 dbee
078264 e0ef
0783ee dfee
078404 2bef
078432 d7ee
078464 dbee
07846a dbee
078478 dbee
078486 dfee
0784ac 37ef
0784e4 2fef
078518 dbee
07851e dbee
07852c 2bef
078532 83ef
078538 dbee
078608 dbee
07860e dbee
078614 53ef
07865c e3ee
078676 dfee
07874c dfee
078798 e3ee
07879e c3ef
0787c2 ecef
0787d0 dbee
0787fa d7ee
078802 2fef
078824 0bef
078836 e3ee
07883c 8bef
078876 67ef
0788ca dfee
07890e 33ef
078914 e3ee
07896e 4fef
07899c 83ef
0789ec 83ef
078aca 5bef
078ae4 8bef
078b24 57ef
078b46 83ef
078ba4 d7ee
078bac 38f0
078bc0 dfee
078be6 dbee
078bec dbee
078c04 dfee
078c14 dbee
078c2a dbee
078c36 2bef
078c3e 2bef
078c44 83ef
078c52 dbee
078c66 dbee
078c74 87ef
078c82 3cf0
078cbc dbee
078cca 7bef
078e6e dbee
078e74 87ef
078f30 d7ee
078fca dfee
078fd2 e3ee
0790c0 e3ee
079100 dfee
079108 97ef
079110 2bef
079184 d7ee
07c265 dbee
07c2e9 63ef
07c2ef dfee
07c319 dfee
07c337 e7ee
07c357 dfee
07c365 d7ee
07c36d 4bef
07c437 dbee
07c43d dbee
07c47d 27ef
07c483 87ef
07c4af dfee
07c4b5 1fef
07c533 dbee
07c559 2bef
07c5dd dbee
07c5e3 2bef
07c5eb e3ee
07c5f1 e3ee
07c603 e3ee
07c609 dbee
07c6e5 40f0
07c74d 87ef
07c755 d7ee
07c7a7 6bef
2f8039 0302
2f803b 0302
2f803d 0301
2f803f 0401
2f8041 0203
2f8049 0200
2f804b 0100
2f804d 0100
2f804f 0103
2f8051 0002
2f8007 1a00
2f8017 0300
2f8029 0600
2f800f 1700
2f8019 1d00
2f802f 1e00
2f8015 2200
2f8011 2500
2f800d 2900
2f8013 2c00
2f801f 2e00
2f8025 3100
2f8027 3e00
2f800b 4800
2f8021 4c00
2f8009 4f00
2f801b 5200
2f801d 5800
2f802d 6100
2f8023 6400
2f8005 0d
2f8004 03
2f8b10 0030
079ee5 9e8e
079628 ea8a
0799e8 528c
079992 228c
0794b7 428a
0795a6 ae8a
079fe3 0a8f
07a351 c690
07cf41 30a3
07cfa9 84a3
07cfab 90a3
07a6ca 3a92
07a952 d293
07ad8d fa95
07ae9f 7e96
07d1ce c8a4
07a594 b691
07ccb9 aca2
07d7d7 40a8
07b3a1 ca98
079e7b 868e
079425 ca89
07a614 e691
07995f fe8b
079651 f68a
0795cf a28a
07a27c 2a90
07d12d 80a4
07cff0 9ca3
07a6c8 2e92
07d247 10a5
07a498 3e91
07a9d5 ea93
07b67d 4a9a
07af3b d296
07d5ce 08a7
07a5e5 ce91
07cd59 c4a2
07daa6 6ca9
07b376 be98
2f8b0c 0000
2f8b00 cdab001470ed00eeeeeeeeee
