2f8000 ce94
2f8002 4725
0786de e8ef
0781cc dbee
0781e8 dbee
0781ee 8cf0
0781f4 dbee
078248 dbee
078264 ecef
0783ee dbee
078404 4bef
078432 d7ee
078464 dbee
07846a e3ee
078478 dbee
078486 dbee
0784ac 33ef
0784e4 33ef
078518 dfee
07851e e3ee
07852c 2bef
078532 83ef
078538 e3ee
078608 dfee
07860e dbee
078614 63ef
07865c e3ee
078676 dbee
07874c e3ee
078798 dfee
07879e cbef
0787c2 03ef
0787d0 dbee
0787fa ffee
078802 2fef
078824 13ef
078836 dbee
07883c 83ef
078876 2bef
0788ca dbee
07890e 2fef
078914 e3ee
07896e 5fef
07899c 8bef
0789ec 83ef
078aca 7bef
078ae4 83ef
078b24 2bef
078b46 87ef
078ba4 d7ee
078bac 40f0
078bc0 dbee
078be6 e3ee
078bec dbee
078c04 dbee
078c14 e3ee
078c2a dbee
078c36 73ef
078c3e 2bef
078c44 83ef
078c52 e3ee
078c66 dfee
078c74 83ef
078c82 2bef
078cbc dbee
078cca 47ef
078e6e e3ee
078e74 83ef
078f30 d7ee
078fca dfee
078fd2 e3ee
0790c0 dbee
079100 dbee
079108 7fef
079110 4fef
079184 d7ee
07c265 dbee
07c2e9 43ef
07c2ef e3ee
07c319 dfee
07c337 e7ee
07c357 dfee
07c365 1bef
07c36d 6bef
07c437 dfee
07c43d dfee
07c47d d7ee
07c483 8bef
07c4af dbee
07c4b5 27ef
07c533 dbee
07c559 5bef
07c5dd dbee
07c5e3 2bef
07c5eb dbee
07c5f1 e3ee
07c603 dfee
07c609 dbee
07c6e5 2bef
07c74d 83ef
07c755 d7ee
07c7a7 34f0
2f8039 0401
2f803b 0401
2f803d 0203
2f803f 0500
2f8041 0203
2f8049 0101
2f804b 0000
2f804d 0001
2f804f 0103
2f8051 0101
2f8025 0300
2f802d 0600
2f801b 0800
2f8021 1700
2f8027 1a00
2f8007 1d00
2f801f 1e00
2f800f 2000
2f8011 2200
2f8015 2900
2f802f 3100
2f801d 3800
2f8017 4000
2f800d 4900
2f800b 4c00
2f8009 4f00
2f8019 5100
2f8023 5200
2f8013 5a00
2f8029 6400
2f8005 1d
2f8004 03
2f8b10 0030
079425 ca89
0794b7 428a
0795a6 ae8a
0795cf a28a
079628 ea8a
079651 f68a
07995f fe8b
079992 228c
0799e8 528c
079e7b 868e
079ee5 9e8e
079fe3 0a8f
07a27c 2a90
07a351 c690
07a498 3e91
07a594 b691
07a5e5 ce91
07a614 e691
07a6c8 2e92
07a6ca 3a92
07a952 d293
07a9d5 ea93
07ad8d fa95
07ae9f 7e96
07af3b d296
07b376 be98
07b3a1 ca98
07b67d 4a9a
07ccb9 aca2
07cd59 c4a2
07cf41 30a3
07cfa9 84a3
07cfab 90a3
07cff0 9ca3
07d12d 80a4
07d1ce c8a4
07d247 10a5
07d5ce 08a7
07d7d7 40a8
07daa6 6ca9
2f8b0c 0000
2f8b00 adde001470ed00eeeeeeeeee
