2f8000 9483
2f8002 5aa9
0786de 23ef
0781cc dbee
0781e8 e3ee
0781ee 83ef
0781f4 dbee
078248 dbee
078264 d7ee
0783ee dbee
078404 2fef
078432 dbee
078464 dbee
07846a d7ee
078478 dbee
078486 dbee
0784ac 33ef
0784e4 2bef
078518 dfee
07851e 27ef
07852c 33ef
078532 83ef
078538 dfee
078608 dbee
07860e dbee
078614 2bef
07865c dbee
078676 dfee
07874c dbee
078798 dfee
07879e 83ef
0787c2 dbee
0787d0 dfee
0787fa e3ee
078802 37ef
078824 dbee
078836 dbee
07883c 83ef
078876 43ef
0788ca dbee
07890e 67ef
078914 dfee
07896e 40f0
07899c 83ef
0789ec 8bef
078aca 5fef
078ae4 87ef
078b24 4bef
078b46 8bef
078ba4 e3ee
078bac 7bef
078bc0 dfee
078be6 e3ee
078bec dfee
078c04 dbee
078c14 e3ee
078c2a dbee
078c36 4fef
078c3e 2fef
078c44 7fef
078c52 e3ee
078c66 dfee
078c74 94f0
078c82 73ef
078cbc d7ee
078cca 5bef
078e6e d7ee
078e74 7fef
078f30 d7ee
078fca e3ee
078fd2 dbee
0790c0 e3ee
079100 d7ee
079108 abef
079110 3bef
079184 dfee
07c265 dfee
07c2e9 37ef
07c2ef 17ef
07c319 dfee
07c337 dfee
07c357 dbee
07c365 0fef
07c36d 2fef
07c437 d7ee
07c43d dfee
07c47d dfee
07c483 83ef
07c4af dfee
07c4b5 dbee
07c533 d7ee
07c559 53ef
07c5dd dfee
07c5e3 2fef
07c5eb dbee
07c5f1 dfee
07c603 e3ee
07c609 d7ee
07c6e5 6fef
07c74d 7fef
07c755 dbee
07c7a7 47ef
2f8039 0402
2f803b 0102
2f803d 0302
2f803f 0300
2f8041 0302
2f8049 0300
2f804b 0100
2f804d 0002
2f804f 0204
2f8051 0100
2f8007 1a00
2f800b 2500
2f8011 2700
2f802d 2900
2f8015 2c00
2f801b 2e00
2f800d 3800
2f802f 3d00
2f801d 3e00
2f8013 4000
2f801f 4800
2f8009 4900
2f8023 4d00
2f8021 5100
2f800f 5a00
2f8019 6100
2f8017 6400
2f8005 0d
2f8004 03
2f8b10 0040
079425 ae8a
0794b7 08a7
0795a6 c690
0795cf ea8a
079628 84a3
079651 fa95
07995f 0a8f
079992 d293
0799e8 9ca3
079e7b 90a3
079ee5 d296
079fe3 3a92
07a27c 228c
07a351 4a9a
07a498 2a90
07a594 b691
07a5e5 ce91
07a614 ea93
07a6c8 ca89
07a6ca 10a5
07a952 528c
07a9d5 fe8b
07ad8d 80a4
07ae9f 868e
07af3b c8a4
07b376 be98
07b3a1 ca98
07b67d 428a
07ccb9 aca2
07cd59 c4a2
07cf41 e691
07cfa9 30a3
07cfab 3e91
07cff0 2e92
07d12d a28a
07d1ce f68a
07d247 9e8e
07d5ce 7e96
07d7d7 40a8
07daa6 6ca9
2f8b0c 0000
2f8b00 cdab005c00ac00eeeeeeeeee
