2f8000 ce94
2f8002 4725
0786de 23ef
0781cc dfee
0781e8 e3ee
0781ee 87ef
0781f4 d7ee
078248 dbee
078264 dfee
0783ee dfee
078404 73ef
078432 d7ee
078464 d7ee
07846a e3ee
078478 dbee
078486 17ef
0784ac 40f0
0784e4 2bef
078518 dfee
07851e dbee
07852c 5fef
078532 83ef
078538 dbee
078608 dfee
07860e dfee
078614 57ef
07865c dbee
078676 d7ee
07874c dbee
078798 dfee
07879e 83ef
0787c2 e3ee
0787d0 dbee
0787fa dfee
078802 2fef
078824 d7ee
078836 e3ee
07883c 8bef
078876 53ef
0788ca e3ee
07890e 6fef
078914 dbee
07896e 37ef
07899c 7fef
0789ec 87ef
078aca 7bef
078ae4 7fef
078b24 67ef
078b46 83ef
078ba4 dbee
078bac 40f0
078bc0 dbee
078be6 dbee
078bec dbee
078c04 e3ee
078c14 dbee
078c2a dfee
078c36 2fef
078c3e 2fef
078c44 7fef
078c52 d7ee
078c66 dbee
078c74 83ef
078c82 43ef
078cbc dfee
078cca 2bef
078e6e dbee
078e74 83ef
078f30 dbee
078fca dbee
078fd2 dbee
0790c0 dbee
079100 dbee
079108 7fef
079110 33ef
079184 dbee
07c265 dbee
07c2e9 2fef
07c2ef f7ee
07c319 dbee
07c337 fbee
07c357 e3ee
07c365 f3ee
07c36d 33ef
07c437 e3ee
07c43d dbee
07c47d e3ee
07c483 83ef
07c4af dbee
07c4b5 dbee
07c533 e3ee
07c559 63ef
07c5dd e3ee
07c5e3 2bef
07c5eb d7ee
07c5f1 dbee
07c603 dfee
07c609 e3ee
07c6e5 5bef
07c74d 8bef
07c755 27ef
07c7a7 3bef
2f8039 0502
2f803b 0203
2f803d 0304
2f803f 0301
2f8041 0302
2f8049 0300
2f804b 0001
2f804d 0000
2f804f 0101
2f8051 0100
2f801d 0800
2f8023 0d00
2f802d 0e00
2f8015 1200
2f801f 1700
2f8007 1a00
2f800f 2500
2f8019 2700
2f8011 2e00
2f802f 3100
2f800b 3e00
2f801b 4d00
2f800d 4f00
2f8017 5100
2f8021 5a00
2f8013 6100
2f8009 6400
2f8005 0d
2f8004 03
2f8b10 0040
079425 0a8f
0794b7 d293
0795a6 3a92
0795cf 528c
079628 c8a4
079651 84a3
07995f c690
079992 ea93
0799e8 2e92
079e7b 80a4
079ee5 9ca3
079fe3 d296
07a27c ea8a
07a351 9e8e
07a498 a28a
07a594 b691
07a5e5 ce91
07a614 ae8a
07a6c8 428a
07a6ca fa95
07a952 fe8b
07a9d5 f68a
07ad8d 08a7
07ae9f 2a90
07af3b 90a3
07b376 be98
07b3a1 ca98
07b67d 3e91
07ccb9 aca2
07cd59 c4a2
07cf41 868e
07cfa9 e691
07cfab 30a3
07cff0 10a5
07d12d 228c
07d1ce 4a9a
07d247 7e96
07d5ce ca89
07d7d7 40a8
07daa6 6ca9
2f8b0c 0000
2f8b00 adde005c00ac00eeeeeeeeee
